2019,Negeri,BIRADS 0,35-39 Tahun,40-44 Tahun,45-49 Tahun,50-54 Tahun,55-59 Tahun,60-64 Tahun,65-69 Tahun,70-74 Tahun,60-74 Tahun,75 + Tahun
2019,Johor,BIRADS 0,0.0,34.0,40.0,30.0,22.0,14.0,8.0,0.0,22.0,0.0
2019,Kedah,BIRADS 0,3.0,65.0,49.0,26.0,20.0,8.0,3.0,0.0,11.0,0.0
2019,Kelantan,BIRADS 0,1.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2019,Melaka,BIRADS 0,4.0,248.0,149.0,143.0,91.0,60.0,22.0,2.0,84.0,0.0
2019,Negeri Sembilan,BIRADS 0,4.0,69.0,28.0,21.0,8.0,7.0,2.0,0.0,9.0,0.0
2019,Pahang,BIRADS 0,4.0,46.0,33.0,33.0,15.0,10.0,6.0,0.0,16.0,0.0
2019,Pulau Pinang,BIRADS 0,2.0,23.0,12.0,6.0,15.0,2.0,2.0,0.0,4.0,0.0
2019,Perak,BIRADS 0,0.0,61.0,56.0,45.0,12.0,13.0,7.0,0.0,20.0,0.0
2019,Perlis,BIRADS 0,0.0,9.0,18.0,12.0,7.0,0.0,1.0,0.0,1.0,0.0
2019,Selangor,BIRADS 0,4.0,217.0,161.0,158.0,88.0,54.0,20.0,3.0,77.0,0.0
2019,Terengganu,BIRADS 0,0.0,9.0,9.0,14.0,3.0,1.0,0.0,0.0,1.0,0.0
2019,Sabah,BIRADS 0,0.0,7.0,6.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0
2019,Sarawak,BIRADS 0,31.0,260.0,217.0,189.0,127.0,57.0,20.0,3.0,80.0,0.0
2019,WP Putrajaya,BIRADS 0,4.0,37.0,23.0,25.0,9.0,12.0,1.0,2.0,15.0,1.0
2019,Tiada Maklumat,BIRADS 0,57.0,492.0,473.0,381.0,253.0,153.0,72.0,10.0,235.0,1.0
2019,Malaysia,BIRADS 0,114.0,1581.0,1279.0,1088.0,674.0,392.0,165.0,20.0,577.0,2.0
2019,Johor,BIRADS 1,25.0,570.0,529.0,438.0,354.0,190.0,87.0,7.0,284.0,0.0
2019,Kedah,BIRADS 1,70.0,716.0,632.0,442.0,302.0,142.0,49.0,5.0,196.0,0.0
2019,Kelantan,BIRADS 1,1.0,3.0,10.0,8.0,5.0,1.0,1.0,0.0,2.0,0.0
2019,Melaka,BIRADS 1,10.0,372.0,329.0,320.0,244.0,120.0,54.0,5.0,179.0,0.0
2019,Negeri Sembilan,BIRADS 1,19.0,465.0,309.0,246.0,184.0,89.0,24.0,0.0,113.0,0.0
2019,Pahang,BIRADS 1,25.0,404.0,377.0,327.0,245.0,138.0,46.0,2.0,186.0,0.0
2019,Pulau Pinang,BIRADS 1,32.0,205.0,167.0,138.0,103.0,36.0,19.0,2.0,57.0,0.0
2019,Perak,BIRADS 1,17.0,686.0,657.0,661.0,533.0,348.0,146.0,14.0,508.0,2.0
